coluna A 1;coluna B 1;coluna C 1
coluna A 2309;coluna B 2309;coluna C 2309
coluna A 22363;coluna B 22363;coluna C 22363
coluna A 32364;coluna B 32364;coluna C 32364
coluna A 7331;coluna B 7331;coluna C 7331
coluna A 42360;coluna B 42360;coluna C 42360
coluna A 47311;coluna B 47311;coluna C 47311
coluna A 22364;coluna B 22364;coluna C 22364
coluna A 17366;coluna B 17366;coluna C 17366
coluna A 12342;coluna B 12342;coluna C 12342
coluna A 27324;coluna B 27324;coluna C 27324
coluna A 37336;coluna B 37336;coluna C 37336
coluna A 2310;coluna B 2310;coluna C 2310
coluna A 32365;coluna B 32365;coluna C 32365
coluna A 42361;coluna B 42361;coluna C 42361
coluna A 7332;coluna B 7332;coluna C 7332
coluna A 47312;coluna B 47312;coluna C 47312
coluna A 22365;coluna B 22365;coluna C 22365
coluna A 17367;coluna B 17367;coluna C 17367
coluna A 12343;coluna B 12343;coluna C 12343
coluna A 27325;coluna B 27325;coluna C 27325
coluna A 37337;coluna B 37337;coluna C 37337
coluna A 2311;coluna B 2311;coluna C 2311
coluna A 32366;coluna B 32366;coluna C 32366
coluna A 42362;coluna B 42362;coluna C 42362
coluna A 7333;coluna B 7333;coluna C 7333
coluna A 47313;coluna B 47313;coluna C 47313
coluna A 22366;coluna B 22366;coluna C 22366
coluna A 17368;coluna B 17368;coluna C 17368
coluna A 12344;coluna B 12344;coluna C 12344
coluna A 27326;coluna B 27326;coluna C 27326
coluna A 37338;coluna B 37338;coluna C 37338
coluna A 2312;coluna B 2312;coluna C 2312
coluna A 2313;coluna B 2313;coluna C 2313
coluna A 32367;coluna B 32367;coluna C 32367
coluna A 42363;coluna B 42363;coluna C 42363
coluna A 7334;coluna B 7334;coluna C 7334
coluna A 47314;coluna B 47314;coluna C 47314
coluna A 47315;coluna B 47315;coluna C 47315
coluna A 22367;coluna B 22367;coluna C 22367
coluna A 17369;coluna B 17369;coluna C 17369
coluna A 12345;coluna B 12345;coluna C 12345
coluna A 27327;coluna B 27327;coluna C 27327
coluna A 37339;coluna B 37339;coluna C 37339
coluna A 2314;coluna B 2314;coluna C 2314
coluna A 32368;coluna B 32368;coluna C 32368
coluna A 42364;coluna B 42364;coluna C 42364
coluna A 42365;coluna B 42365;coluna C 42365
coluna A 7335;coluna B 7335;coluna C 7335
coluna A 47316;coluna B 47316;coluna C 47316
coluna A 22368;coluna B 22368;coluna C 22368
coluna A 17370;coluna B 17370;coluna C 17370
coluna A 12346;coluna B 12346;coluna C 12346
coluna A 27328;coluna B 27328;coluna C 27328
coluna A 37340;coluna B 37340;coluna C 37340
coluna A 2315;coluna B 2315;coluna C 2315
coluna A 32369;coluna B 32369;coluna C 32369
coluna A 42366;coluna B 42366;coluna C 42366
coluna A 7336;coluna B 7336;coluna C 7336
coluna A 47317;coluna B 47317;coluna C 47317
coluna A 22369;coluna B 22369;coluna C 22369
coluna A 17371;coluna B 17371;coluna C 17371
coluna A 17372;coluna B 17372;coluna C 17372
coluna A 12347;coluna B 12347;coluna C 12347
coluna A 27329;coluna B 27329;coluna C 27329
coluna A 37341;coluna B 37341;coluna C 37341
coluna A 2316;coluna B 2316;coluna C 2316
coluna A 32370;coluna B 32370;coluna C 32370
coluna A 32371;coluna B 32371;coluna C 32371
coluna A 42367;coluna B 42367;coluna C 42367
coluna A 7337;coluna B 7337;coluna C 7337
coluna A 47318;coluna B 47318;coluna C 47318
coluna A 47319;coluna B 47319;coluna C 47319
coluna A 22370;coluna B 22370;coluna C 22370
coluna A 17373;coluna B 17373;coluna C 17373
coluna A 12348;coluna B 12348;coluna C 12348
coluna A 12349;coluna B 12349;coluna C 12349
coluna A 27330;coluna B 27330;coluna C 27330
coluna A 37342;coluna B 37342;coluna C 37342
coluna A 37343;coluna B 37343;coluna C 37343
coluna A 2317;coluna B 2317;coluna C 2317
coluna A 32372;coluna B 32372;coluna C 32372
coluna A 42368;coluna B 42368;coluna C 42368
coluna A 7338;coluna B 7338;coluna C 7338
coluna A 47320;coluna B 47320;coluna C 47320
coluna A 22371;coluna B 22371;coluna C 22371
coluna A 17374;coluna B 17374;coluna C 17374
coluna A 12350;coluna B 12350;coluna C 12350
coluna A 27331;coluna B 27331;coluna C 27331
coluna A 37344;coluna B 37344;coluna C 37344
coluna A 2318;coluna B 2318;coluna C 2318
coluna A 32373;coluna B 32373;coluna C 32373
coluna A 42369;coluna B 42369;coluna C 42369
coluna A 7339;coluna B 7339;coluna C 7339
coluna A 47321;coluna B 47321;coluna C 47321
coluna A 22372;coluna B 22372;coluna C 22372
coluna A 17375;coluna B 17375;coluna C 17375
coluna A 12351;coluna B 12351;coluna C 12351
coluna A 27332;coluna B 27332;coluna C 27332
coluna A 12352;coluna B 12352;coluna C 12352
coluna A 37345;coluna B 37345;coluna C 37345
coluna A 2319;coluna B 2319;coluna C 2319
coluna A 32374;coluna B 32374;coluna C 32374
coluna A 42370;coluna B 42370;coluna C 42370
coluna A 7340;coluna B 7340;coluna C 7340
coluna A 47322;coluna B 47322;coluna C 47322
coluna A 22373;coluna B 22373;coluna C 22373
coluna A 17376;coluna B 17376;coluna C 17376
coluna A 27333;coluna B 27333;coluna C 27333
coluna A 12353;coluna B 12353;coluna C 12353
coluna A 37346;coluna B 37346;coluna C 37346
coluna A 2320;coluna B 2320;coluna C 2320
coluna A 2321;coluna B 2321;coluna C 2321
coluna A 32375;coluna B 32375;coluna C 32375
coluna A 42371;coluna B 42371;coluna C 42371
coluna A 7341;coluna B 7341;coluna C 7341
coluna A 47323;coluna B 47323;coluna C 47323
coluna A 47324;coluna B 47324;coluna C 47324
coluna A 22374;coluna B 22374;coluna C 22374
coluna A 17377;coluna B 17377;coluna C 17377
coluna A 22375;coluna B 22375;coluna C 22375
coluna A 27334;coluna B 27334;coluna C 27334
coluna A 12354;coluna B 12354;coluna C 12354
coluna A 37347;coluna B 37347;coluna C 37347
coluna A 2322;coluna B 2322;coluna C 2322
coluna A 2323;coluna B 2323;coluna C 2323
coluna A 32376;coluna B 32376;coluna C 32376
coluna A 42372;coluna B 42372;coluna C 42372
coluna A 7342;coluna B 7342;coluna C 7342
coluna A 7343;coluna B 7343;coluna C 7343
coluna A 47325;coluna B 47325;coluna C 47325
coluna A 17378;coluna B 17378;coluna C 17378
coluna A 22376;coluna B 22376;coluna C 22376
coluna A 27335;coluna B 27335;coluna C 27335
coluna A 12355;coluna B 12355;coluna C 12355
coluna A 12356;coluna B 12356;coluna C 12356
coluna A 37348;coluna B 37348;coluna C 37348
coluna A 37349;coluna B 37349;coluna C 37349
coluna A 2324;coluna B 2324;coluna C 2324
coluna A 2325;coluna B 2325;coluna C 2325
coluna A 32377;coluna B 32377;coluna C 32377
coluna A 42373;coluna B 42373;coluna C 42373
coluna A 7344;coluna B 7344;coluna C 7344
coluna A 47326;coluna B 47326;coluna C 47326
coluna A 17379;coluna B 17379;coluna C 17379
coluna A 22377;coluna B 22377;coluna C 22377
coluna A 27336;coluna B 27336;coluna C 27336
coluna A 12357;coluna B 12357;coluna C 12357
coluna A 37350;coluna B 37350;coluna C 37350
coluna A 2326;coluna B 2326;coluna C 2326
coluna A 32378;coluna B 32378;coluna C 32378
coluna A 42374;coluna B 42374;coluna C 42374
coluna A 7345;coluna B 7345;coluna C 7345
coluna A 47327;coluna B 47327;coluna C 47327
coluna A 17380;coluna B 17380;coluna C 17380
coluna A 22378;coluna B 22378;coluna C 22378
coluna A 22379;coluna B 22379;coluna C 22379
coluna A 27337;coluna B 27337;coluna C 27337
coluna A 12358;coluna B 12358;coluna C 12358
coluna A 37351;coluna B 37351;coluna C 37351
coluna A 37352;coluna B 37352;coluna C 37352
coluna A 2327;coluna B 2327;coluna C 2327
coluna A 32379;coluna B 32379;coluna C 32379
coluna A 42375;coluna B 42375;coluna C 42375
coluna A 7346;coluna B 7346;coluna C 7346
coluna A 47328;coluna B 47328;coluna C 47328
coluna A 17381;coluna B 17381;coluna C 17381
coluna A 22380;coluna B 22380;coluna C 22380
coluna A 27338;coluna B 27338;coluna C 27338
coluna A 12359;coluna B 12359;coluna C 12359
coluna A 37353;coluna B 37353;coluna C 37353
coluna A 2328;coluna B 2328;coluna C 2328
coluna A 2329;coluna B 2329;coluna C 2329
coluna A 2330;coluna B 2330;coluna C 2330
coluna A 2331;coluna B 2331;coluna C 2331
coluna A 2332;coluna B 2332;coluna C 2332
coluna A 32380;coluna B 32380;coluna C 32380
coluna A 42376;coluna B 42376;coluna C 42376
coluna A 7347;coluna B 7347;coluna C 7347
coluna A 47329;coluna B 47329;coluna C 47329
coluna A 17382;coluna B 17382;coluna C 17382
coluna A 22381;coluna B 22381;coluna C 22381
coluna A 27339;coluna B 27339;coluna C 27339
coluna A 12360;coluna B 12360;coluna C 12360
coluna A 37354;coluna B 37354;coluna C 37354
coluna A 2333;coluna B 2333;coluna C 2333
coluna A 32381;coluna B 32381;coluna C 32381
coluna A 42377;coluna B 42377;coluna C 42377
coluna A 7348;coluna B 7348;coluna C 7348
coluna A 7349;coluna B 7349;coluna C 7349
coluna A 47330;coluna B 47330;coluna C 47330
coluna A 17383;coluna B 17383;coluna C 17383
coluna A 22382;coluna B 22382;coluna C 22382
coluna A 27340;coluna B 27340;coluna C 27340
coluna A 12361;coluna B 12361;coluna C 12361
coluna A 37355;coluna B 37355;coluna C 37355
coluna A 2334;coluna B 2334;coluna C 2334
coluna A 32382;coluna B 32382;coluna C 32382
coluna A 42378;coluna B 42378;coluna C 42378
coluna A 7350;coluna B 7350;coluna C 7350
coluna A 7351;coluna B 7351;coluna C 7351
coluna A 47331;coluna B 47331;coluna C 47331
coluna A 17384;coluna B 17384;coluna C 17384
coluna A 22383;coluna B 22383;coluna C 22383
coluna A 27341;coluna B 27341;coluna C 27341
coluna A 12362;coluna B 12362;coluna C 12362
coluna A 37356;coluna B 37356;coluna C 37356
coluna A 2335;coluna B 2335;coluna C 2335
coluna A 32383;coluna B 32383;coluna C 32383
coluna A 42379;coluna B 42379;coluna C 42379
coluna A 7352;coluna B 7352;coluna C 7352
coluna A 47332;coluna B 47332;coluna C 47332
coluna A 17385;coluna B 17385;coluna C 17385
coluna A 22384;coluna B 22384;coluna C 22384
coluna A 27342;coluna B 27342;coluna C 27342
coluna A 12363;coluna B 12363;coluna C 12363
coluna A 37357;coluna B 37357;coluna C 37357
coluna A 2336;coluna B 2336;coluna C 2336
coluna A 32384;coluna B 32384;coluna C 32384
coluna A 42380;coluna B 42380;coluna C 42380
coluna A 7353;coluna B 7353;coluna C 7353
coluna A 47333;coluna B 47333;coluna C 47333
coluna A 17386;coluna B 17386;coluna C 17386
coluna A 22385;coluna B 22385;coluna C 22385
coluna A 27343;coluna B 27343;coluna C 27343
coluna A 12364;coluna B 12364;coluna C 12364
coluna A 37358;coluna B 37358;coluna C 37358
coluna A 2337;coluna B 2337;coluna C 2337
coluna A 32385;coluna B 32385;coluna C 32385
coluna A 42381;coluna B 42381;coluna C 42381
coluna A 7354;coluna B 7354;coluna C 7354
coluna A 47334;coluna B 47334;coluna C 47334
coluna A 17387;coluna B 17387;coluna C 17387
coluna A 22386;coluna B 22386;coluna C 22386
coluna A 22387;coluna B 22387;coluna C 22387
coluna A 27344;coluna B 27344;coluna C 27344
coluna A 12365;coluna B 12365;coluna C 12365
coluna A 37359;coluna B 37359;coluna C 37359
coluna A 2338;coluna B 2338;coluna C 2338
coluna A 32386;coluna B 32386;coluna C 32386
coluna A 42382;coluna B 42382;coluna C 42382
coluna A 7355;coluna B 7355;coluna C 7355
coluna A 47335;coluna B 47335;coluna C 47335
coluna A 17388;coluna B 17388;coluna C 17388
coluna A 22388;coluna B 22388;coluna C 22388
coluna A 27345;coluna B 27345;coluna C 27345
coluna A 12366;coluna B 12366;coluna C 12366
coluna A 12367;coluna B 12367;coluna C 12367
coluna A 37360;coluna B 37360;coluna C 37360
coluna A 2339;coluna B 2339;coluna C 2339
coluna A 32387;coluna B 32387;coluna C 32387
coluna A 32388;coluna B 32388;coluna C 32388
coluna A 42383;coluna B 42383;coluna C 42383
coluna A 7356;coluna B 7356;coluna C 7356
coluna A 47336;coluna B 47336;coluna C 47336
coluna A 17389;coluna B 17389;coluna C 17389
coluna A 22389;coluna B 22389;coluna C 22389
coluna A 27346;coluna B 27346;coluna C 27346
coluna A 12368;coluna B 12368;coluna C 12368
coluna A 37361;coluna B 37361;coluna C 37361
coluna A 2340;coluna B 2340;coluna C 2340
coluna A 2341;coluna B 2341;coluna C 2341
coluna A 32389;coluna B 32389;coluna C 32389
coluna A 42384;coluna B 42384;coluna C 42384
coluna A 7357;coluna B 7357;coluna C 7357
coluna A 7358;coluna B 7358;coluna C 7358
coluna A 7359;coluna B 7359;coluna C 7359
coluna A 47337;coluna B 47337;coluna C 47337
coluna A 17390;coluna B 17390;coluna C 17390
coluna A 22390;coluna B 22390;coluna C 22390
coluna A 22391;coluna B 22391;coluna C 22391
coluna A 27347;coluna B 27347;coluna C 27347
coluna A 12369;coluna B 12369;coluna C 12369
coluna A 37362;coluna B 37362;coluna C 37362
coluna A 2342;coluna B 2342;coluna C 2342
coluna A 2343;coluna B 2343;coluna C 2343
coluna A 32390;coluna B 32390;coluna C 32390
coluna A 42385;coluna B 42385;coluna C 42385
coluna A 7360;coluna B 7360;coluna C 7360
coluna A 47338;coluna B 47338;coluna C 47338
coluna A 17391;coluna B 17391;coluna C 17391
coluna A 22392;coluna B 22392;coluna C 22392
coluna A 27348;coluna B 27348;coluna C 27348
coluna A 22393;coluna B 22393;coluna C 22393
coluna A 12370;coluna B 12370;coluna C 12370
coluna A 12371;coluna B 12371;coluna C 12371
coluna A 37363;coluna B 37363;coluna C 37363
coluna A 2344;coluna B 2344;coluna C 2344
coluna A 32391;coluna B 32391;coluna C 32391
coluna A 42386;coluna B 42386;coluna C 42386
coluna A 7361;coluna B 7361;coluna C 7361
coluna A 47339;coluna B 47339;coluna C 47339
coluna A 7362;coluna B 7362;coluna C 7362
coluna A 17392;coluna B 17392;coluna C 17392
coluna A 27349;coluna B 27349;coluna C 27349
coluna A 22394;coluna B 22394;coluna C 22394
coluna A 12372;coluna B 12372;coluna C 12372
coluna A 37364;coluna B 37364;coluna C 37364
coluna A 2345;coluna B 2345;coluna C 2345
coluna A 32392;coluna B 32392;coluna C 32392
coluna A 42387;coluna B 42387;coluna C 42387
coluna A 47340;coluna B 47340;coluna C 47340
coluna A 7363;coluna B 7363;coluna C 7363
coluna A 17393;coluna B 17393;coluna C 17393
coluna A 27350;coluna B 27350;coluna C 27350
coluna A 22395;coluna B 22395;coluna C 22395
coluna A 12373;coluna B 12373;coluna C 12373
coluna A 37365;coluna B 37365;coluna C 37365
coluna A 2346;coluna B 2346;coluna C 2346
coluna A 32393;coluna B 32393;coluna C 32393
coluna A 42388;coluna B 42388;coluna C 42388
coluna A 47341;coluna B 47341;coluna C 47341
coluna A 42389;coluna B 42389;coluna C 42389
coluna A 7364;coluna B 7364;coluna C 7364
coluna A 17394;coluna B 17394;coluna C 17394
coluna A 27351;coluna B 27351;coluna C 27351
coluna A 22396;coluna B 22396;coluna C 22396
coluna A 22397;coluna B 22397;coluna C 22397
coluna A 12374;coluna B 12374;coluna C 12374
coluna A 37366;coluna B 37366;coluna C 37366
coluna A 2347;coluna B 2347;coluna C 2347
coluna A 32394;coluna B 32394;coluna C 32394
coluna A 47342;coluna B 47342;coluna C 47342
coluna A 42390;coluna B 42390;coluna C 42390
coluna A 7365;coluna B 7365;coluna C 7365
coluna A 17395;coluna B 17395;coluna C 17395
coluna A 27352;coluna B 27352;coluna C 27352
coluna A 22398;coluna B 22398;coluna C 22398
coluna A 12375;coluna B 12375;coluna C 12375
coluna A 37367;coluna B 37367;coluna C 37367
coluna A 2348;coluna B 2348;coluna C 2348
coluna A 32395;coluna B 32395;coluna C 32395
coluna A 2349;coluna B 2349;coluna C 2349
coluna A 47343;coluna B 47343;coluna C 47343
coluna A 2350;coluna B 2350;coluna C 2350
coluna A 42391;coluna B 42391;coluna C 42391
coluna A 7366;coluna B 7366;coluna C 7366
coluna A 17396;coluna B 17396;coluna C 17396
coluna A 27353;coluna B 27353;coluna C 27353
coluna A 17397;coluna B 17397;coluna C 17397
coluna A 22399;coluna B 22399;coluna C 22399
coluna A 12376;coluna B 12376;coluna C 12376
coluna A 37368;coluna B 37368;coluna C 37368
coluna A 32396;coluna B 32396;coluna C 32396
coluna A 32397;coluna B 32397;coluna C 32397
coluna A 47344;coluna B 47344;coluna C 47344
coluna A 2351;coluna B 2351;coluna C 2351
coluna A 42392;coluna B 42392;coluna C 42392
coluna A 7367;coluna B 7367;coluna C 7367
coluna A 27354;coluna B 27354;coluna C 27354
coluna A 17398;coluna B 17398;coluna C 17398
coluna A 22400;coluna B 22400;coluna C 22400
coluna A 12377;coluna B 12377;coluna C 12377
coluna A 37369;coluna B 37369;coluna C 37369
coluna A 32398;coluna B 32398;coluna C 32398
coluna A 47345;coluna B 47345;coluna C 47345
coluna A 2352;coluna B 2352;coluna C 2352
coluna A 2353;coluna B 2353;coluna C 2353
coluna A 2354;coluna B 2354;coluna C 2354
coluna A 42393;coluna B 42393;coluna C 42393
coluna A 7368;coluna B 7368;coluna C 7368
coluna A 27355;coluna B 27355;coluna C 27355
coluna A 17399;coluna B 17399;coluna C 17399
coluna A 22401;coluna B 22401;coluna C 22401
coluna A 12378;coluna B 12378;coluna C 12378
coluna A 37370;coluna B 37370;coluna C 37370
coluna A 32399;coluna B 32399;coluna C 32399
coluna A 47346;coluna B 47346;coluna C 47346
coluna A 2355;coluna B 2355;coluna C 2355
coluna A 42394;coluna B 42394;coluna C 42394
coluna A 7369;coluna B 7369;coluna C 7369
coluna A 27356;coluna B 27356;coluna C 27356
coluna A 17400;coluna B 17400;coluna C 17400
coluna A 27357;coluna B 27357;coluna C 27357
coluna A 22402;coluna B 22402;coluna C 22402
coluna A 12379;coluna B 12379;coluna C 12379
coluna A 37371;coluna B 37371;coluna C 37371
coluna A 32400;coluna B 32400;coluna C 32400
coluna A 32401;coluna B 32401;coluna C 32401
coluna A 47347;coluna B 47347;coluna C 47347
coluna A 47348;coluna B 47348;coluna C 47348
coluna A 2356;coluna B 2356;coluna C 2356
coluna A 2357;coluna B 2357;coluna C 2357
coluna A 42395;coluna B 42395;coluna C 42395
coluna A 7370;coluna B 7370;coluna C 7370
coluna A 17401;coluna B 17401;coluna C 17401
coluna A 27358;coluna B 27358;coluna C 27358
coluna A 22403;coluna B 22403;coluna C 22403
coluna A 22404;coluna B 22404;coluna C 22404
coluna A 12380;coluna B 12380;coluna C 12380
coluna A 37372;coluna B 37372;coluna C 37372
coluna A 32402;coluna B 32402;coluna C 32402
coluna A 47349;coluna B 47349;coluna C 47349
coluna A 2358;coluna B 2358;coluna C 2358
coluna A 42396;coluna B 42396;coluna C 42396
coluna A 42397;coluna B 42397;coluna C 42397
coluna A 7371;coluna B 7371;coluna C 7371
coluna A 17402;coluna B 17402;coluna C 17402
coluna A 27359;coluna B 27359;coluna C 27359
coluna A 22405;coluna B 22405;coluna C 22405
coluna A 12381;coluna B 12381;coluna C 12381
coluna A 37373;coluna B 37373;coluna C 37373
coluna A 32403;coluna B 32403;coluna C 32403
coluna A 47350;coluna B 47350;coluna C 47350
coluna A 2359;coluna B 2359;coluna C 2359
coluna A 42398;coluna B 42398;coluna C 42398
coluna A 7372;coluna B 7372;coluna C 7372
coluna A 17403;coluna B 17403;coluna C 17403
coluna A 27360;coluna B 27360;coluna C 27360
coluna A 22406;coluna B 22406;coluna C 22406
coluna A 12382;coluna B 12382;coluna C 12382
coluna A 37374;coluna B 37374;coluna C 37374
coluna A 32404;coluna B 32404;coluna C 32404
coluna A 47351;coluna B 47351;coluna C 47351
coluna A 2360;coluna B 2360;coluna C 2360
coluna A 2361;coluna B 2361;coluna C 2361
coluna A 42399;coluna B 42399;coluna C 42399
coluna A 7373;coluna B 7373;coluna C 7373
coluna A 17404;coluna B 17404;coluna C 17404
coluna A 27361;coluna B 27361;coluna C 27361
coluna A 22407;coluna B 22407;coluna C 22407
coluna A 12383;coluna B 12383;coluna C 12383
coluna A 37375;coluna B 37375;coluna C 37375
coluna A 32405;coluna B 32405;coluna C 32405
coluna A 32406;coluna B 32406;coluna C 32406
coluna A 47352;coluna B 47352;coluna C 47352
coluna A 47353;coluna B 47353;coluna C 47353
coluna A 2362;coluna B 2362;coluna C 2362
coluna A 42400;coluna B 42400;coluna C 42400
coluna A 7374;coluna B 7374;coluna C 7374
coluna A 17405;coluna B 17405;coluna C 17405
coluna A 27362;coluna B 27362;coluna C 27362
coluna A 22408;coluna B 22408;coluna C 22408
coluna A 12384;coluna B 12384;coluna C 12384
coluna A 37376;coluna B 37376;coluna C 37376
coluna A 32407;coluna B 32407;coluna C 32407
coluna A 47354;coluna B 47354;coluna C 47354
coluna A 2363;coluna B 2363;coluna C 2363
coluna A 42401;coluna B 42401;coluna C 42401
coluna A 42402;coluna B 42402;coluna C 42402
coluna A 7375;coluna B 7375;coluna C 7375
coluna A 17406;coluna B 17406;coluna C 17406
coluna A 27363;coluna B 27363;coluna C 27363
coluna A 22409;coluna B 22409;coluna C 22409
coluna A 12385;coluna B 12385;coluna C 12385
coluna A 37377;coluna B 37377;coluna C 37377
coluna A 32408;coluna B 32408;coluna C 32408
coluna A 47355;coluna B 47355;coluna C 47355
coluna A 2364;coluna B 2364;coluna C 2364
coluna A 42403;coluna B 42403;coluna C 42403
coluna A 7376;coluna B 7376;coluna C 7376
coluna A 17407;coluna B 17407;coluna C 17407
coluna A 27364;coluna B 27364;coluna C 27364
coluna A 22410;coluna B 22410;coluna C 22410
coluna A 12386;coluna B 12386;coluna C 12386
coluna A 12387;coluna B 12387;coluna C 12387
coluna A 37378;coluna B 37378;coluna C 37378
coluna A 32409;coluna B 32409;coluna C 32409
coluna A 47356;coluna B 47356;coluna C 47356
coluna A 2365;coluna B 2365;coluna C 2365
coluna A 42404;coluna B 42404;coluna C 42404
coluna A 7377;coluna B 7377;coluna C 7377
coluna A 17408;coluna B 17408;coluna C 17408
coluna A 27365;coluna B 27365;coluna C 27365
coluna A 2366;coluna B 2366;coluna C 2366
coluna A 22411;coluna B 22411;coluna C 22411
coluna A 22412;coluna B 22412;coluna C 22412
coluna A 12388;coluna B 12388;coluna C 12388
coluna A 37379;coluna B 37379;coluna C 37379
coluna A 32410;coluna B 32410;coluna C 32410
coluna A 47357;coluna B 47357;coluna C 47357
coluna A 47358;coluna B 47358;coluna C 47358
coluna A 42405;coluna B 42405;coluna C 42405
coluna A 7378;coluna B 7378;coluna C 7378
coluna A 17409;coluna B 17409;coluna C 17409
coluna A 27366;coluna B 27366;coluna C 27366
coluna A 17410;coluna B 17410;coluna C 17410
coluna A 2367;coluna B 2367;coluna C 2367
coluna A 22413;coluna B 22413;coluna C 22413
coluna A 22414;coluna B 22414;coluna C 22414
coluna A 22415;coluna B 22415;coluna C 22415
coluna A 22416;coluna B 22416;coluna C 22416
coluna A 22417;coluna B 22417;coluna C 22417
coluna A 12389;coluna B 12389;coluna C 12389
coluna A 37380;coluna B 37380;coluna C 37380
coluna A 32411;coluna B 32411;coluna C 32411
coluna A 47359;coluna B 47359;coluna C 47359
coluna A 42406;coluna B 42406;coluna C 42406
coluna A 47360;coluna B 47360;coluna C 47360
coluna A 7379;coluna B 7379;coluna C 7379
coluna A 27367;coluna B 27367;coluna C 27367
coluna A 17411;coluna B 17411;coluna C 17411
coluna A 27368;coluna B 27368;coluna C 27368
coluna A 2368;coluna B 2368;coluna C 2368
coluna A 2369;coluna B 2369;coluna C 2369
coluna A 22418;coluna B 22418;coluna C 22418
coluna A 12390;coluna B 12390;coluna C 12390
coluna A 37381;coluna B 37381;coluna C 37381
coluna A 32412;coluna B 32412;coluna C 32412
coluna A 42407;coluna B 42407;coluna C 42407
coluna A 47361;coluna B 47361;coluna C 47361
coluna A 7380;coluna B 7380;coluna C 7380
coluna A 17412;coluna B 17412;coluna C 17412
coluna A 27369;coluna B 27369;coluna C 27369
coluna A 2370;coluna B 2370;coluna C 2370
coluna A 22419;coluna B 22419;coluna C 22419
coluna A 12391;coluna B 12391;coluna C 12391
coluna A 37382;coluna B 37382;coluna C 37382
coluna A 32413;coluna B 32413;coluna C 32413
coluna A 42408;coluna B 42408;coluna C 42408
coluna A 47362;coluna B 47362;coluna C 47362
coluna A 7381;coluna B 7381;coluna C 7381
coluna A 7382;coluna B 7382;coluna C 7382
coluna A 17413;coluna B 17413;coluna C 17413
coluna A 27370;coluna B 27370;coluna C 27370
coluna A 2371;coluna B 2371;coluna C 2371
coluna A 22420;coluna B 22420;coluna C 22420
coluna A 12392;coluna B 12392;coluna C 12392
coluna A 37383;coluna B 37383;coluna C 37383
coluna A 37384;coluna B 37384;coluna C 37384
coluna A 32414;coluna B 32414;coluna C 32414
coluna A 42409;coluna B 42409;coluna C 42409
coluna A 32415;coluna B 32415;coluna C 32415
coluna A 47363;coluna B 47363;coluna C 47363
coluna A 7383;coluna B 7383;coluna C 7383
coluna A 17414;coluna B 17414;coluna C 17414
coluna A 27371;coluna B 27371;coluna C 27371
coluna A 2372;coluna B 2372;coluna C 2372
coluna A 22421;coluna B 22421;coluna C 22421
coluna A 12393;coluna B 12393;coluna C 12393
coluna A 37385;coluna B 37385;coluna C 37385
coluna A 42410;coluna B 42410;coluna C 42410
coluna A 32416;coluna B 32416;coluna C 32416
coluna A 47364;coluna B 47364;coluna C 47364
coluna A 7384;coluna B 7384;coluna C 7384
coluna A 7385;coluna B 7385;coluna C 7385
coluna A 17415;coluna B 17415;coluna C 17415
coluna A 27372;coluna B 27372;coluna C 27372
coluna A 2373;coluna B 2373;coluna C 2373
coluna A 22422;coluna B 22422;coluna C 22422
coluna A 12394;coluna B 12394;coluna C 12394
coluna A 37386;coluna B 37386;coluna C 37386
coluna A 42411;coluna B 42411;coluna C 42411
coluna A 32417;coluna B 32417;coluna C 32417
coluna A 42412;coluna B 42412;coluna C 42412
coluna A 47365;coluna B 47365;coluna C 47365
coluna A 7386;coluna B 7386;coluna C 7386
coluna A 17416;coluna B 17416;coluna C 17416
coluna A 27373;coluna B 27373;coluna C 27373
coluna A 2374;coluna B 2374;coluna C 2374
coluna A 22423;coluna B 22423;coluna C 22423
coluna A 22424;coluna B 22424;coluna C 22424
coluna A 12395;coluna B 12395;coluna C 12395
coluna A 37387;coluna B 37387;coluna C 37387
coluna A 32418;coluna B 32418;coluna C 32418
coluna A 42413;coluna B 42413;coluna C 42413
coluna A 47366;coluna B 47366;coluna C 47366
coluna A 7387;coluna B 7387;coluna C 7387
coluna A 17417;coluna B 17417;coluna C 17417
coluna A 27374;coluna B 27374;coluna C 27374
coluna A 2375;coluna B 2375;coluna C 2375
coluna A 22425;coluna B 22425;coluna C 22425
coluna A 12396;coluna B 12396;coluna C 12396
coluna A 37388;coluna B 37388;coluna C 37388
coluna A 32419;coluna B 32419;coluna C 32419
coluna A 42414;coluna B 42414;coluna C 42414
coluna A 47367;coluna B 47367;coluna C 47367
coluna A 7388;coluna B 7388;coluna C 7388
coluna A 17418;coluna B 17418;coluna C 17418
coluna A 27375;coluna B 27375;coluna C 27375
coluna A 2376;coluna B 2376;coluna C 2376
coluna A 2377;coluna B 2377;coluna C 2377
coluna A 2378;coluna B 2378;coluna C 2378
coluna A 2379;coluna B 2379;coluna C 2379
coluna A 22426;coluna B 22426;coluna C 22426
coluna A 12397;coluna B 12397;coluna C 12397
coluna A 37389;coluna B 37389;coluna C 37389
coluna A 32420;coluna B 32420;coluna C 32420
coluna A 42415;coluna B 42415;coluna C 42415
coluna A 47368;coluna B 47368;coluna C 47368
coluna A 7389;coluna B 7389;coluna C 7389
coluna A 17419;coluna B 17419;coluna C 17419
coluna A 27376;coluna B 27376;coluna C 27376
